,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 쪽파 요리 3가지~ 3 kinds of small green onion cooking recipe, korea food recipe~ [강쉪]",2020. 3. 27.,"243,140회",2.6천개,63개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 느타리 버섯 3가지 요리~ 3 kinds of oyster mushroom recipe, korea food recipe ~ [강쉪]",2020. 3. 25.,"236,677회",3.7천개,80개
0,강쉪 - YouTube,구독자 19.5만명,간단하고 맛있는 무 김치 3가지~  3 kinds of radish kimchi recipe~ korea food recipe [강쉪],2020. 3. 22.,"141,622회",1.8천개,30개
0,강쉪 - YouTube,구독자 19.5만명,"계란으로 할수있는 간단하고 맛있는 3가지 요리~ 3 kinds of egg cooking recipe, korea food recipe~ [강쉪]",2020. 3. 19.,"262,820회",3천개,86개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 등갈비 3가지 요리~ 3 kinds of pig's back ribs recipe,  korea food recipe [강쉪]",2020. 3. 15.,"326,359회",3.2천개,79개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 오징어로 할수있는 3가지 요리~ 3 kinds of  squid cooking recipe,  korea food recipe [강쉪]",2020. 3. 13.,"152,409회",1.9천개,47개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 미트볼 요리 3가지~ 3 kinds of  meatball  cooking recipe, korea food recipe [강쉪]",2020. 3. 10.,"11,274회",234개,6개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 오이 요리 3가지~  3 kinds of cucumber recipe, korea food recipe [강쉪]",2020. 3. 5.,"460,869회",5천개,137개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 대패삼겹살 3가지요리~ 3 kinds of  thin pork belly recipe,  korea food recipe [강쉪]",2020. 3. 3.,"366,077회",2.7천개,87개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 팽이버섯 요리 3가지~ 3 kinds of enoki mushroom recipe, korea food recipe [강쉪]",2020. 2. 28.,"992,395회",9천개,399개
