,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,달걀 깨기만 하면 끝! 밥도둑 노른자장 만들기_ 불도 필요없는 초간단 알토란 비법 레시피,2020. 3. 29.,"15,604회",198개,10개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,매콤 치즈불닭 만들기_ 깔끔하고 맛있게 매운 스트레스 확 풀리는 레시피,2020. 3. 27.,"5,970회",187개,1개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,바삭바삭 감자채전 만들기_ 감자로 만드는 가장 맛있는 요리,2020. 3. 25.,"42,673회",638개,10개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,밑반찬 3대장 [쪽파김무침] 맛있게 만드는 법_ 쉽고 간단하게 짭쪼름하고 고소한 밥도둑 만들기,2020. 3. 23.,"7,764회",220개,1개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,닭강정집보다 맛있는 매콤달콤 양념 닭강정 만들기_ '이것' 반스푼을 넣으면 감칠맛이 2배!!,2020. 3. 21.,"14,570회",358개,5개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,매콤 쭈꾸미볶음 만들기_ 지금 먹어야 가장 쫄깃하고 맛있는 봄 쭈꾸미 레시피,2020. 3. 20.,"13,425회",311개,5개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,1000번 저어 만드는 계란후라이 만들기,2020. 3. 18.,"10,755회",171개,3개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,마약김밥 만드는 법_ 새우깡 이후 이렇게 자꾸 손이 가는 적은 처음입니다;,2020. 3. 17.,"189,433회",1.6천개,53개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,두부양념조림 맛있게 만드는 법_ 매콤짭쪼름 기가막힌 꿀맛 레시피,2020. 3. 15.,"25,629회",401개,7개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,닭볶음탕 만들기_  '이것' 한스푼이면 감칠맛이 4배!!,2020. 3. 13.,"47,710회",504개,21개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,느타리버섯조림 만들기_ 쫄깃하고 짭쪼름한 최고의 밥도둑 레시피,2020. 3. 11.,"36,485회",367개,8개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,바삭바삭 부추전 만들기_  '이것'을 넣으면 맛이 훨씬 더 풍부해집니다,2020. 3. 9.,"82,549회",610개,20개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,라이스페이퍼 요리 만들기_ 평범한건 이제 그만!! 색다른 음식이 먹고싶어,2020. 3. 7.,"303,002회",3.1천개,85개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,돼지고기 육전 만들기_ 착한 가격에 소고기 육전 부럽지 않은 꿀맛 레시피,2020. 3. 5.,"100,145회",834개,14개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,진미채 대박 레시피_ 딱딱한건 이제 그만!! 볶지않고 무쳐서 부드러움과 맛이 배가 되는 밥도둑 레시피,2020. 3. 3.,"223,085회",1.6천개,50개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,계란말이 맛있게 만드는 법_ 맛과 비주얼 모두 최고의 레시피,2020. 3. 1.,"689,160회",4.9천개,131개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,두부탕수 맛있게 만드는 법_ 면역력 강화에 좋은 두부요리 레시피,2020. 2. 28.,"61,159회",813개,13개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,수미네반찬 '돼지갈비볶음탕' 만들기_ 대박 맛있는 역대급 레시피,2020. 2. 26.,"117,747회",1천개,27개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,해물파전 만들기_ 바삭하고 고소한 강력추천 레시피,2020. 2. 24.,"27,462회",378개,11개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,고급진 삼겹살 간장조림 만들기_ 쫀득하고 짭쪼름한 밥도둑 레시피,2020. 2. 22.,"695,349회",6.8천개,140개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,봄동 겉절이 맛있게 만드는 법_ 절이지않고 바로 무쳐먹는 초간단 레시피,2020. 2. 21.,"21,982회",365개,7개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,돼지등뼈 감자탕 만드는 법_ 5천원으로 푸짐하고 얼큰하게 끝내주는 레시피,2020. 2. 19.,"11,118회",277개,3개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,양배추 맛있게 찌는 법_ 최고로 맛있는 다이어트 레시피,2020. 2. 17.,"55,235회",536개,14개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,김치전 만들기_ '이것'을 넣으면 맛과 든든함이 2배!!,2020. 2. 15.,"111,703회",728개,22개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,고추장 멸치볶음 만들기_ 절대 실패하지 않는 꿀맛보장 레시피,2020. 2. 13.,"22,391회",439개,10개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,놀면뭐하니? 이연복 쉐프의 간짜장라면 챌린지,2020. 2. 11.,"14,055회",167개,5개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,'연매출 5억 돼지김치 두루치기' 비법 레시피_ 고소한 풍미와 맛깔나는 양념의 환상적 조합!,2020. 2. 9.,"232,798회",1.7천개,56개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,진짜 맛있는 닭갈비 떡볶이 만드는 법_ 푸짐하고 기분좋은 꿀맛보장 레시피,2020. 2. 8.,"20,473회",320개,3개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,기가막힌 콩나물밥 만드는 법_ 비법양념장과 비벼먹으면 감탄이 절로!!,2020. 2. 6.,"128,828회",1.1천개,38개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,유튜브에 없는 입맛이 확 살아나는 꿀맛조합_ 시금치 오징어 초무침 만드는 법,2020. 2. 4.,"79,501회",584개,11개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,치킨집보다 맛있는 양념닭봉 튀기지않고 간단하게 만들기,2020. 2. 2.,"400,262회",6.2천개,119개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,어묵볶음과 찰떡궁합인 '이것'을 넣으면 최강의 밥도둑 탄생!!,2020. 1. 31.,"127,914회",851개,24개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,줄서서 먹는 매운 오징어 김밥 만들기_ 한 줄만 먹어도 든든!,2020. 1. 29.,"59,628회",479개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,매콤한 쟁반국수 만들기_ 쉽고 간단하게 명절 느끼함을 '확' 날려주는 맛!,2020. 1. 27.,"93,484회",800개,17개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,명절 나물로 돌솥비빔밥 만들기_ 쉽고 간단하게 고민해결 레시피,2020. 1. 26.,"20,157회",223개,7개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,전찌개 맛있게 만드는 법_ 2분만에 마스터하기,2020. 1. 25.,"10,453회",144개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,아삭하고 고소한 봄동전 만드는 법_ 초간장에 찍어서 상큼하게!,2020. 1. 23.,"14,252회",175개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,끝장나는 최고의 불고기 레시피_ 비법소스에 찍어먹으면 핵꿀맛!,2020. 1. 22.,"46,965회",548개,10개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,한입에 쏘옥! 설날특집 오징어전_ 쉽고 간단하게 만드는 법,2020. 1. 21.,"63,749회",362개,12개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 '스팸꼬치전' 초간단 인기만점 레시피,2020. 1. 20.,"51,587회",357개,10개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 팽이버섯전 '이것'을 넣으면 바삭함과 촉촉함이 2배!!,2020. 1. 19.,"132,879회",1.1천개,44개
