,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num,days_after_upload,youtuber_id,clean_name,clean_name_noun
0,취미로 요리하는 남자 Yonam ,556000000,요리사들이 한 자리에 모이면 벌어지는 일 2 (오리다리콩피),-9 days +07:27:27.585545000,245137,580000,67,9,0,요리사 들 하다 자리 모이 면 벌어지다 일 오리 다리 콩피,"['요리사', '자리', '모이', '면', '일', '오리', '다리', '콩피']"
1,취미로 요리하는 남자 Yonam ,556000000,sub)요리하는 남자의 간단한 집들이음식,-30 days +07:27:27.585545000,630196,950000,124,30,0,요리 하다 남자 간단하다 집들이 음식,"['요리', '남자', '집들이', '음식']"
2,취미로 요리하는 남자 Yonam ,556000000,(종료)제가 여러분께 요리를 해드립니다.,-43 days +07:27:27.585545000,160997,340000,21,43,0,종료 제 여러분 께 요리 해드리다,"['종료', '제', '여러분', '요리']"
3,취미로 요리하는 남자 Yonam ,556000000,sub)요리사들이 한 자리에 모이면 벌어지는 일.,-59 days +07:27:27.585545000,1962881,21000,384,59,0,요리사 들 하다 자리 모이 면 벌어지다 일,"['요리사', '자리', '모이', '면', '일']"
4,취미로 요리하는 남자 Yonam ,556000000,sub)요리하는 남자들의 흔한 파티음식.,-71 days +07:27:27.585545000,720225,90000,144,71,0,요리 하다 남자 들 흔하다 파티 음식,"['요리', '남자', '파티', '음식']"
5,취미로 요리하는 남자 Yonam ,556000000,"ENG)요리하는 남자의 글램핑, 스테이크, 비프립, 돌문어, 또 라면...ㅋ",-120 days +07:27:27.585545000,477349,540000,74,120,0,요리 하다 남자 글램핑 스테이크 비프 립 돌 문어 또 라면,"['요리', '남자', '글램핑', '스테이크', '비프', '립', '돌', '문어', '또', '라면']"
6,취미로 요리하는 남자 Yonam ,556000000,취미로 요리하는 남자가 무려 다섯명. feat. 초밥도전,-129 days +07:27:27.585545000,696346,690000,129,129,0,취미 요리 하다 남자 무려 다섯 명 초밥 도전,"['취미', '요리', '남자', '무려', '다섯', '명', '초밥', '도전']"
7,취미로 요리하는 남자 Yonam ,556000000,SUB) 바닷가에서 먹는 브런치...는 개뿔.,-141 days +07:27:27.585545000,411963,50000,82,141,0,바닷가 먹다 브런치 개뿔,"['바닷가', '브런치', '개뿔']"
8,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 캠핑카를 타면 벌어지는 일.,-157 days +07:27:27.585545000,556207,70000,111,157,0,요리 하다 남자 캠핑카 타다 벌어지다 일,"['요리', '남자', '캠핑카', '일']"
9,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자. 캠핑카. 그리고 랍스터.,-166 days +07:27:27.585545000,808580,950000,211,166,0,요리 하다 남자 캠핑카 그리고 랍스터,"['요리', '남자', '캠핑카', '랍스터']"
10,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자의 옥상 해물파티.,-173 days +07:27:27.585545000,1213310,12000,296,173,0,요리 하다 남자 옥상 해물 파티,"['요리', '남자', '옥상', '해물', '파티']"
