,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num,youtuber_id,clean_name
0,취미로 요리하는 남자 Yonam ,556000000,요리사들이 한 자리에 모이면 벌어지는 일 2 (오리다리콩피),2020-03-25,245137,580000,67,0,요리사 들다 자리 모이 면 벌어지다 일 오리 다리 콩피
1,취미로 요리하는 남자 Yonam ,556000000,sub)요리하는 남자의 간단한 집들이음식,2020-03-04,630196,950000,124,0,요리 남자 간단하다 집들이 음식
2,취미로 요리하는 남자 Yonam ,556000000,(종료)제가 여러분께 요리를 해드립니다.,2020-02-20,160997,340000,21,0,종료 제 여러분 께 요리 해드리다
3,취미로 요리하는 남자 Yonam ,556000000,sub)요리사들이 한 자리에 모이면 벌어지는 일.,2020-02-04,1962881,21000,384,0,요리사 들다 자리 모이 면 벌어지다 일
4,취미로 요리하는 남자 Yonam ,556000000,sub)요리하는 남자들의 흔한 파티음식.,2020-01-23,720225,90000,144,0,요리 남자 들다 흔하다 파티 음식
5,취미로 요리하는 남자 Yonam ,556000000,"ENG)요리하는 남자의 글램핑, 스테이크, 비프립, 돌문어, 또 라면...ㅋ",2019-12-05,477349,540000,74,0,요리 남자 글램핑 스테이크 비프 립 돌 문어 또 라면
6,취미로 요리하는 남자 Yonam ,556000000,취미로 요리하는 남자가 무려 다섯명. feat. 초밥도전,2019-11-26,696346,690000,129,0,취미 요리 남자 무려 다섯 명 초밥 도전
7,취미로 요리하는 남자 Yonam ,556000000,SUB) 바닷가에서 먹는 브런치...는 개뿔.,2019-11-14,411963,50000,82,0,바닷가 먹다 브런치 개뿔
8,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 캠핑카를 타면 벌어지는 일.,2019-10-29,556207,70000,111,0,요리 남자 캠핑카 타다 벌어지다 일
9,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자. 캠핑카. 그리고 랍스터.,2019-10-20,808580,950000,211,0,요리 남자 캠핑카 그리고 랍스터
10,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자의 옥상 해물파티.,2019-10-13,1213310,12000,296,0,요리 남자 옥상 해물 파티
11,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자의 간단한 저녁 밥.,2019-09-15,2965410,22000,645,0,요리 남자 간단하다 저녁 밥
12,취미로 요리하는 남자 Yonam ,556000000,SUB) 취미로 요리하는 남자가 현실 요리사 친구들과 노는 방법.,2019-08-21,1090533,1000,194,0,취미 요리 남자 현실 요리사 친구 들다 노 방법
13,취미로 요리하는 남자 Yonam ,556000000,SUB) 친구네집 집들이요리 2편 풀드포크. with제이제이 (김치전 아님),2019-08-05,589072,460000,90,0,친구 네 집 집들이 요리 편 풀드 포크 제이제이 김치전 아니다
14,취미로 요리하는 남자 Yonam ,556000000,SUB) 친구네집 집들이요리 1편 안심스테이크. with제이제이,2019-08-05,959644,670000,184,0,친구 네 집 집들이 요리 편 안심 스테이크 제이제이
15,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자의 대가족 만찬.,2019-07-28,864881,1000,124,0,요리 남자 대가족 만찬
16,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 캠핑을 가면 벌어지는 일,2019-07-19,529576,60000,81,0,요리 남자 캠핑 가면 벌어지다 일
17,취미로 요리하는 남자 Yonam ,556000000,SUB) 쿡튜버 모임의 한상 가득 만찬!!!!,2019-07-10,724588,620000,167,0,쿡튜버 모임 상 가득 만찬
18,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 푸드 크리에이터 앞에서 요리하기.,2019-07-01,949258,690000,193,0,요리 남자 푸드 크리에이터 앞 요리
19,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 부모님께 회덮밥 해드리는 이야기.,2019-06-25,406573,490000,85,0,요리 남자 부모님 께 회덮밥 해드리다 이야기
20,취미로 요리하는 남자 Yonam ,556000000,SUB) 까르보나라와 함께하는 10만기념 QnA,2019-06-17,618158,70000,92,0,까르보나라 함께 기념 QnA
21,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 낚시터에 가면 벌어지는 일.,2019-06-10,1249679,780000,266,0,요리 남자 낚시터 가면 벌어지다 일
22,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 퇴근하고 먹는 간단한 스테이크 덮밥,2019-06-04,667728,550000,127,0,요리 남자 퇴근 먹다 간단하다 스테이크 덮다 밥
23,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 옥탑방에 놀러가면 벌어지는 일,2019-05-27,1611816,11000,355,0,요리 남자 옥탑방 놀다 가면 벌어지다 일
24,취미로 요리하는 남자 Yonam ,556000000,워터에이징 한우 나눔이벤트 후기.,2019-05-22,84664,140000,15,0,워터 이징 한우 나눔 이벤트 후기
25,취미로 요리하는 남자 Yonam ,556000000,SUB) 남은 음식으로 만든 흔한 회덮밥,2019-05-16,365791,320000,65,0,남다 음식 만들다 흔하다 회덮밥
26,취미로 요리하는 남자 Yonam ,556000000,취미로 요리하는 남자의 장비소개 + (이벤트종료),2019-05-14,138656,260000,15,0,취미 요리 남자 장비 소개 이벤트 종료
27,취미로 요리하는 남자 Yonam ,556000000,세계 4대 진미 특집! 4편 이베리코! 요남 X 제이제이 콜라보!!!/베요타/플루마/목심,2019-05-13,273933,220000,32,0,세계 대다 진미 특집 편 베리 코 요 남 제이제이 콜라보 베 요타 플루 마목 심
28,취미로 요리하는 남자 Yonam ,556000000,세계 4대 진미 특집! 3편 캐비어! 요남 X 제이제이 콜라보!!!/딱새우/우니/연어회,2019-05-07,242186,20000,43,0,세계 대다 진미 특집 편 캐비어 요 남 제이제이 콜라보 딱 새우다 연 어회
29,취미로 요리하는 남자 Yonam ,556000000,sub)세계 4대 진미 특집! 2편 트러플! 요남 X 제이제이 콜라보!!!/고든램지 관자요리/트러플파스타/수제파스타,2019-05-03,501495,350000,87,0,세계 대다 진미 특집 편 트러플 요 남 제이제이 콜라보 고든 램지 관자 요리 트러플 파스타 수 제 파스타
30,취미로 요리하는 남자 Yonam ,556000000,sub)세계 4대 진미 특집! 1편 푸아그라! 요남 X 제이제이 콜라보!!!,2019-04-29,266703,230000,52,0,세계 대다 진미 특집 편 푸아그라 요 남 제이제이 콜라보
31,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 친구 집에 가면 벌어지는 일.,2019-04-23,2160227,13000,284,0,요리 남자 친구 집 가면 벌어지다 일
32,취미로 요리하는 남자 Yonam ,556000000,sub)오징어 두 마리로 파스타 만들기/ 오징어먹물파스타/ 오징어튀김파스타 / 오징어 바질파스타,2019-04-11,288686,230000,63,0,오징어 두 마리 파스타 오징어 먹물 파스타 오징어 튀김 파스타 오징어 바질 파스타
33,취미로 요리하는 남자 Yonam ,556000000,SUB) 소갈비 바베큐!/수비드 40시간/낚시터 1박2일/궁극의 캠핑요리/이베리코 뼈등심,2019-04-03,347417,230000,49,0,소갈비 바베큐 수비드 시간 낚시터 박일 궁극 캠핑 요리 베리 코 뼈 등심
34,취미로 요리하는 남자 Yonam ,556000000,[수비드 동파육] 집에서 동파육 도전해봤어요!!!,2019-03-27,607962,460000,141,0,수비드 동파육 집 동파육 도전 해봤다
35,취미로 요리하는 남자 Yonam ,556000000,sub) 이베리코 꼬치구이/티본 스테이크/립아이 스테이크,2019-03-16,625034,420000,104,0,베리 코 꼬치 구 이티 보다 스테이크 립 아이 스테이크
