,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,갈비에 미친 사람이 뼈해장국을 끓이면,2020. 3. 26.,"124,537회",2.1천개,59개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,육회에 미친 사람이 햄버거를 만들면,2020. 3. 21.,"567,403회",6천개,216개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,진짜 벌집으로 피자를 만들면! 벌집핏자,2020. 3. 18.,"416,951회",4.9천개,193개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,통순대로 돈까스를 만들면,2020. 3. 14.,"252,636회",3.1천개,135개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,라면 소스로 요식업계 정점! 불범벅 클라쓰,2020. 3. 12.,"295,493회",3.4천개,128개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,찢어먹는 삼겹살! 이름하야 찢겹살,2020. 3. 8.,"313,813회",4천개,169개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,라면을 조합하는 새로운 방법! 산더미 앵그리 짜파구리,2020. 3. 6.,"292,751회",3.9천개,134개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,서브웨이에서 파스타를 만들면,2020. 2. 29.,"406,774회",4.9천개,190개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,게 없이 간장게장맛 만드는 법,2020. 2. 22.,"347,070회",4.4천개,222개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,통삼겹 통연어로 짜장면 만드는 법! 욕망의 통통짜장 (with 딕헌터),2020. 2. 15.,"597,212회",1.1만개,425개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,육개장을 튀기면 놀라운 결과가,2020. 2. 12.,"590,616회",5.3천개,326개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,이 정신나간 두꺼운 면을 먹는 법,2020. 2. 9.,"460,664회",5.4천개,221개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,대창으로 파스타를 튀기면,2020. 2. 5.,"615,899회",7.8천개,366개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,끓이면 안되는 라면,2020. 1. 31.,"429,120회",4.7천개,196개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,더 이상 그냥 굽지 마,2020. 1. 26.,"724,017회",5.9천개,377개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,배를 갈아 만든 왕갈비 불냉면,2020. 1. 24.,"505,825회",5.5천개,215개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,삼겹살 쌈 싸먹는 정신나간 방법,2020. 1. 21.,"929,129회",9.1천개,465개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,호떡에 미친놈이 햄버거를 만들면,2020. 1. 16.,"1,354,835회",1.6만개,940개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,밥 없이 오므라이스 만드는 법,2020. 1. 12.,"846,213회",8.1천개,479개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,킬바사 소세지로 꽈배기 만드는 법,2020. 1. 7.,"439,851회",6.1천개,202개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,산낙지에 불닭소스를 부었더니! 불낙호롱구이,2020. 1. 4.,"958,140회",1.6만개,2.4천개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,비빔면으로 초밥 만드는 법,2020. 1. 1.,"814,567회",8천개,407개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,마늘에 미친 민족을 위한 통삼겹 마늘떡볶이 만드는 법,2019. 12. 28.,"1,502,479회",1.6만개,717개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,컵라면 뚜껑의 새로운 사용법! 너구리 스키야키,2019. 12. 21.,"723,035회",7.8천개,505개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,캔맥주 멋있게 따는 법,2019. 12. 15.,"483,616회",6.6천개,315개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng)10초만에 붕어빵을 만드는 새로운 방법,2019. 12. 12.,"1,684,974회",2.7만개,1.6천개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,새우깡을 끓이면! 낙곱새우깡,2019. 12. 9.,"529,686회",7.2천개,306개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,쌍화탕을 끓이면! 쌍도리탕,2019. 12. 6.,"394,500회",4.2천개,200개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,김치로 탕수육을 했더니! 겉절이 김피탕,2019. 12. 2.,"472,585회",5.2천개,149개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng)생생우동 소스의 새로운 사용법! 간단 생생모츠나베,2019. 11. 30.,"721,417회",7.6천개,374개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,거대한 스팸 고추를 튀기면?,2019. 11. 22.,"622,458회",6.8천개,224개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng)두부로 파스타면을 만들면,2019. 11. 18.,"1,153,805회",1.2만개,506개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,불닭볶음면 소스로 돼지갈비를 만들면! 불 쫄갈비,2019. 11. 6.,"541,722회",7.5천개,235개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng)피자집에서 호빵을 만들면 어떻게 될까?,2019. 11. 1.,"1,070,530회",1.3만개,561개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng)통삼겹살을 튀기면! 통탕수육,2019. 10. 28.,"1,356,646회",1.1만개,765개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng) 냉면을 구웠더니! 냉면 피자 | Cold Noodle Pizza,2019. 10. 23.,"633,655회",7.3천개,266개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,국밥충 세끼 저격,2019. 10. 18.,"427,424회",6천개,183개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,마라볶음면에 카레를 부었더니! 초간단 마라 카레,2019. 10. 11.,"197,898회",3.2천개,80개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,치킨을 밥이랑 먹는 신박한 방법! 매콤 치밥 | Fire Spicy Chicken,2019. 10. 10.,"671,191회",6.7천개,243개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,치즈스틱을 밥이랑 먹으려면 | Giant Cheese Stick,2019. 10. 4.,"587,705회",7천개,286개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,비 올 때 전을 먹으면 안 되는 이유,2019. 10. 2.,"466,669회",5.7천개,158개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,나의 남은 뼈를 끓이면,2019. 9. 28.,"686,162회",7.1천개,251개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,컵라면 용기 새로운 사용법! 간단 냉우동 만들어,2019. 9. 20.,"1,633,306회",1.4만개,962개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,송편을 튀기면 폭발한다?,2019. 9. 15.,"342,444회",5.1천개,115개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,튀긴 햄버거를 만들면,2019. 9. 11.,"727,780회",1만개,332개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng) 킬바사와 불닭으로 부대찌개를 만들었더니,2019. 9. 6.,"954,729회",1.2만개,765개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,Eng) 킬바사 소세지로 핫도그를 만들면,2019. 8. 31.,"1,535,258회",2.2만개,2천개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,뿌링클 가루로 마약 옥수수 만들기! 무기징역급,2019. 8. 28.,"827,377회",1만개,357개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,꿀떡으로 엽떡 만들기! 추석맞이 엽기꿀떡볶이,2019. 8. 25.,"305,216회",5천개,116개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,굽지 않고 핵폭탄 치즈 피자 만드는 법! 갈릭맛,2019. 8. 22.,"500,851회",6.5천개,141개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,스팸으로 스테이크 만들기! 초간단 꿀팁,2019. 8. 17.,"1,235,437회",1.2만개,675개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,불꽃닭볶음탕면 먹어볼래 | 세로생긴 식당 Ep.01,2019. 8. 14.,"215,578회",2.8천개,85개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,호날두가 뛸 수 없었던 진짜 이유 ! 짜글이 날강두,2019. 8. 10.,"264,737회",4천개,142개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,중국당면을 라이스페이퍼로 만들 수 있다고?,2019. 8. 8.,"862,898회",8.2천개,397개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,짜장 라면으로 찜닭을 만들 수 있다고? 닭파게티,2019. 8. 4.,"434,770회",4.9천개,175개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,김치제육덮밥도 피오씁니다,2019. 8. 1.,"303,729회",4천개,91개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,천원에 3개!? 흑당 빙수야,2019. 7. 30.,"399,774회",5천개,226개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,100원의 행복!! 진짜 불맛 통 오징어 짬뽕라면,2019. 7. 27.,"595,423회",8.2천개,265개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,생생우동 라면 1개로 만들 수 있는 4가지 코스요리,2019. 7. 22.,"604,986회",7.7천개,216개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,비오는 날 한국식 피자 1000원의 행복! ㅎㅓ얼↗!?,2019. 7. 17.,"184,453회",2.8천개,73개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,[Q&A] 일주일만에 구독자10만 유튜버 요리 실력과 수익 공개!!,2019. 7. 13.,"400,830회",4.3천개,118개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,나천재 굿즈 언박싱! 그리고 미아 맛집 뿌시기이잌!,2019. 7. 12.,"193,237회",2.9천개,88개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,사발면으로 무더위 피하는 개 꿀팁 / 냉묵사발면,2019. 7. 8.,"588,931회",7.6천개,276개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,튀길 필요없는 치즈볼 만들기! 역대급!,2019. 7. 5.,"762,209회",1.1만개,384개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,빠끄없는 Flex 라면,2019. 7. 2.,"931,720회",7.6천개,344개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,닭껍질튀김 + 불닭볶음면 만들기,2019. 6. 28.,"1,276,222회",1.7만개,694개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,숯불없이 집에서 숯불 삼겹살 먹는 법,2019. 6. 26.,"1,102,108회",4.4천개,384개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,불닭발볶음면 만들기 (한신포차 스타일),2019. 6. 22.,"840,857회",7.1천개,516개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,PC방 라면 만들기 (피시방 알바생 라면),2019. 6. 19.,"4,036,189회",2.2만개,3.2천개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,"미친 냉면 토핑 천국 / 그리고 파스타, 김치찌개, 삼겹살, 갈비",2019. 6. 11.,"494,139회",4.5천개,134개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,총몇명 총 몇명일까? 그리고 나천재 / 토마토 달걀 볶음 / #총몇명100만축하 #샌드박스,2019. 6. 6.,"333,843회",5천개,177개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,2천원 대왕 토스트가 맛있을 수 밖에 없는 이유 / 창동 할머니 토스트,2019. 5. 31.,"572,960회",3.9천개,100개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,불닭볶음면에 진짜 닭 한 마리 처넣자ㅏ! 으아ㅏ악ㄱ! / +닭 손질 달인 (병맛자막),2019. 5. 29.,"1,357,892회",2.4만개,939개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,-대가의 비법? 이탈리아 본고장의 정통 까르보나라  -이렇게 하는거 맞아..? -쉿!,2019. 5. 23.,"266,845회",2.2천개,171개
0,먹어볼래TryToEat - YouTube,구독자 60.9만명,계란을 10개 넣으면 황금똥이 나올까?,2019. 5. 17.,"1,571,361회",1.2만개,796개
