,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,봄이 왔나 봄! 봄나물로 만드는 봄채소 레시피 봄나물 레시피 5가지 [만개의레시피],2020. 3. 29.,410회,41개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,이젠 디저트도 편의점재료로 만든다! 부드러운 연두부티라미수 [만개의레시피],2020. 3. 29.,"1,713회",77개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,실패없이 수제리코타치즈 만들기 에어프라이어로 치즈까지??!! l Ricotta Cheese [만개의레시피],2020. 3. 28.,"3,317회",122개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,원하는 재료를 넣어 만드는 달걀요리는? ! 다양한오믈렛 요리모음 : omelet & Frittata [만개의레시피],2020. 3. 28.,"3,729회",70개,3개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,당신은 민초단 입니까? 홈베이킹 민초디저트! 민트초코쿠키 레시피 : MINT CHOCOLATE COOKIES [만개의레시피],2020. 3. 28.,"2,487회",75개,5개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"스테이크 빠네샌드위치 : 빠네빵으로 스테이크샌드위치 만들기! Pan Bagnat, Pane Sandwich [만개의레시피]",2020. 3. 27.,"2,120회",39개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"값비싼 딸기부페는 필요없어! 나만의 딸기뷔페 만들기! 딸기요리모음 :  strawberry dessert, strawberry recipe [만개의레시피]",2020. 3. 27.,"3,379회",99개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,두부라자냐 같은 떠먹는피자 만들기! 두부피자 : Tofu pizza [만개의레시피],2020. 3. 27.,"4,380회",206개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,떡볶이의 업그레이드 버전! 해물가득! 단짠의 맛! 해물간장떡볶이 : Tteokbokki Recipe not spicy [만개의레시피],2020. 3. 26.,"1,780회",69개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,전국 유명한 음식들을 따라한다! 음식으로 여행어때???!!!! 팔도유명요리모음 [만개의레시피],2020. 3. 26.,"3,090회",66개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"홈런볼의 진짜 이름은 슈 ! 커스터드크림을 잔뜩 넣은 슈크림 만들기 : choux cream, cream puffs  [만개의레시피]",2020. 3. 26.,"2,462회",81개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,고기말이 & 된찌밥 : 고기말이와 된장찌개를 코스로 먹는 방법은? : meet roll & Doenjang-jjigae [만개의레시피],2020. 3. 25.,"3,694회",102개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,농가살리는 프로젝트! 전국농가는 백종원이 책임진다! 맛남의광장 요리모음 [만개의레시피],2020. 3. 25.,"4,096회",74개,2개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,참치고추장찌개 하나만 있으면 밥 한공기는 뚝딱! [만개의레시피],2020. 3. 25.,"3,508회",135개,2개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,소고기카레우동 : 시판용카레로 맛집느낌 물씬 내기 : beef curry udon  [만개의레시피],2020. 3. 24.,"3,865회",106개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,FMD식단 ! 간헐적 단식?! 뭘 먹어야 하나요?!!! 간헐적단식 5일치 다이어트식단 [만개의레시피],2020. 3. 24.,"5,767회",145개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,끝없이 들어가는 단짠의 매력! 튀김은 에어프라이어로~! 단짠치즈감자 : Honey cheese potato  [만개의레시피],2020. 3. 24.,"5,107회",153개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,면역력에 좋은 상큼한 감귤라떼 [만개의레시피],2020. 3. 23.,"2,254회",53개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,여러가지 맛에 길들이는 게 중요한 이유식! 다양한 소고기미음 레시피! [만개의레시피],2020. 3. 23.,830회,11개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,반숙! 너는 감동이였어! 반숙란이 낳은 반숙과 찰떡궁합 레시피 [만개의레시피],2020. 3. 23.,"4,474회",92개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,1000번 저어 만든다는 수플레오믈렛 만들기!  [만개의레시피],2020. 3. 23.,"4,065회",88개,2개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,오징어볶음 l 한식자격증실기 l 시험시간 30분 [만개의레시피],2020. 3. 22.,"1,880회",48개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,생각나는 대로 춘권피에 말아 튀겨보기 춘권튀김 10가지 [만개의레시피],2020. 3. 22.,"3,114회",61개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,아보카도새우샐러드 l 가볍게 먹고 싶은 때 필요한 샐러드레시피 Shrimp Avocado Salad  [만개의레시피],2020. 3. 22.,"2,899회",86개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,다양한 샐러드 드레싱와 만능 소스만들기! 소스의 모든 것  [만개의레시피],2020. 3. 21.,"3,386회",107개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,먹방유튜버들이 봐야할 몰티져스를 가장 맛있게 먹는 법 5가지 [만개의레시피],2020. 3. 21.,"8,815회",128개,6개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,떡볶이랑 제육볶음중에 고민될 때 제육떡볶이로 만들기 [만개의레시피],2020. 3. 21.,"2,569회",79개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,땅콩우엉강정 l 바삭하게 튀김우엉에 달달한 소스로 강정만들기 ★ [만개의레시피],2020. 3. 20.,"1,889회",34개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,맥주와의 연결고리! 홀릭한다! 너란 아이 ! 버터구이 요리모음 ★ [만개의레시피],2020. 3. 20.,"4,675회",96개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,만레's요리교실) 구수한 맛으로 몸보신하는 누룽지백숙 만드는 법 [만개의레시피],2020. 3. 20.,"2,195회",42개,2개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,튀기는 장면엔 꼭 소리를 키워주세요! 먹기 전엔 모른다!! 고로케만두 [만개의레시피],2020. 3. 19.,"3,590회",73개,2개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,균형잡힌 식단으로 소개하는 ' 영양밥상 '  오늘의식단 [만개의레시피],2020. 3. 19.,"3,689회",71개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,이탈리안 버터크림케이크 : 아이싱연습으로 좋은 빈티지 버터크림케이크 만들기 : Butter Cream Cake [만개의레시피],2020. 3. 19.,"3,109회",71개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,명란애호박볶음 l 명란젓을 넣은 애호박볶음 반찬 만들기! [만개의레시피],2020. 3. 18.,"1,768회",32개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,김밥천국에서 꼭 먹었던 메뉴들! 한끼에 딱! 분식메뉴 요리모음 [만개의레시피],2020. 3. 18.,"8,794회",166개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,기름없이 식빵으로 만드는 에어프라이어 카레고로케 : Curry croquette [만개의레시피],2020. 3. 18.,"2,696회",73개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,버터없이 쿠키믹스로 만드는 진저브레드쿠키 만드는 법 : Gingerbread Men Cookies  ♥  [만개의레시피],2020. 3. 17.,"2,317회",44개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,만인의간식! 떡볶이 황금비율만 안다면?! 이색떡볶이 요리모음 [만개의레시피],2020. 3. 17.,"5,702회",91개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,양념게장 ! 밥도둑 게장을 비린내 없이 간단하게 만드는 방법은?! [만개의레시피],2020. 3. 17.,"2,576회",67개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,언제 시작하는게 좋을까?! 초기2단계 이유식 ! 소고기미음 3가지 [만개의레시피],2020. 3. 16.,"1,045회",10개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,안주로 딱! 씹다보면 달달한 맛의 대파구이 4가지 레시피!: Grilled spring onion [만개의레시피],2020. 3. 16.,"7,043회",133개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,편의점재료로 라면끓이기! 족발곰탕 ? 족발라면 편의점조합레시피 ♥ 만개의레시피],2020. 3. 16.,"2,816회",67개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,더덕구이 l 한식자격증실기 l 시험시간 30분 [만개의레시피],2020. 3. 15.,"1,361회",23개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,달콤한 도넛을 만드는 과정! 맛있고 다양한 도넛만들기: How to make Doughnuts ★ [만개의레시피],2020. 3. 15.,"4,303회",109개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,몰티져스쿠키 : 몰티져스 1통은 너무 많아! 콕! 박아 쿠키만들기 : maltesers cookies [만개의레시피],2020. 3. 15.,"3,085회",69개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,해물땅콩버터라면 l 라면이라고 다 같은 라면은 아니야! 호화스럽게 라면끓이기 : Seafood Peanut Butter Ramen [만개의레시피],2020. 3. 14.,"3,349회",54개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,짜파게티 맛있게 먹는 방법 ! 당신의 짜장라면조합은? 짜장라면취향조합: jjapaghetti  [만개의레시피],2020. 3. 14.,"5,728회",90개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,두릅을 손질하며 봄을 맞이하는 봄내음을 가득 두릅소고기비빔밥 !: bibimbap recipe  [만개의레시피],2020. 3. 14.,"2,034회",47개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,다양한 브런치메뉴로 아침을 차려보는 오늘의식단 ★ [만개의레시피],2020. 3. 13.,"7,019회",112개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,킹타이거새우 힘들게 손질해서 간장새우초밥으로 요리하기 (경악) [만개의레시피],2020. 3. 13.,"3,471회",51개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,봉골레수제비 l 뇨끼인 척하는 수제비오일파스타 : Vongole Sujebi ★ [만개의레시피],2020. 3. 13.,"2,887회",89개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,먹을때 와장창 깨지는 실패없이 화이트데이맞이 과일탕후루 만들기 tanghulu recipe ★ [만개의레시피],2020. 3. 12.,"4,260회",74개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,기념일은 준비하는 과정 ♥ 화이트데이 레스토랑요리 따라하기~! [만개의레시피],2020. 3. 12.,"6,480회",131개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,쫀쫀한 스위스머랭으로 영롱한 갤럭시 머랭쿠키 만들기 l Meringue Cookie l [만개의레시피],2020. 3. 12.,"2,967회",71개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,소소하게 6인분 샐러드김장하기! 이유리의 통큰 레시피 ! 감자달걀샐러드 [만개의레시피],2020. 3. 11.,"5,797회",146개,3개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,봄이 더 가까이 다가올꺼같은 바질요리 모음 ★ [만개의레시피],2020. 3. 11.,"4,277회",85개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,낙지구이양념을 발라 에어프라이어로 2번 구운 낙지호롱 ★  [만개의레시피],2020. 3. 11.,"2,062회",64개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,초간단 밥도둑! 달걀장조림을 뒤 이을 간장두부장! [만개의레시피],2020. 3. 10.,"6,988회",221개,3개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"버물버물 무침반찬 모음 ♥ 만들어 지금 바로 먹거나, 냉장고에 꼭 쟁여두기! [만개의레시피]",2020. 3. 10.,"8,274회",117개,3개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,시금치크림파스타 : Spinach Cream Pasta : 간단하게 슈렉파스타 만들기 [만개의레시피],2020. 3. 10.,"5,339회",142개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"사과, 배 미음으로 다양한 입맛을 살려주는 과일미음, 초기이유식 : rice puree ★ [만개의레시피]",2020. 3. 9.,"1,024회",15개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,또띠아로 만드는 요리모음 ♥ 고급진 요리부터 간단레시피까지!  [만개의레시피],2020. 3. 9.,"7,592회",171개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,팬케이크핫도그 l pancake hotdog 팬케이크와 핫도그를 한꺼번에 먹는 방법! [만개의레시피],2020. 3. 9.,"3,728회",96개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,육회 l 한식자격증실기 l 시험시간 20분: raw meat  [만개의레시피],2020. 3. 8.,"2,558회",47개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,베이킹초보에게 딱! 카페디저트 레시피모음 ♥ [만개의레시피],2020. 3. 8.,"8,870회",216개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,파채+콩불은 사랑! 절대 맛 없을수 없는 조합! 파콩제육볶음 [만개의레시피,2020. 3. 8.,"3,760회",105개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,불닭볶음면 넣고 계란말이하기! 불닭달걀말이 ★ [만개의레시피],2020. 3. 7.,"4,627회",97개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,절대 실패 없이 에어프라이어 캐 꿀맛! 베스트 냉동식품 ♥  [만개의레시피],2020. 3. 7.,"10,644회",116개,7개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,대파막창 대신 대패삼겹살로 만든 대패대파구이 !! : Grilled Pork on Spring Onions[만개의레시피],2020. 3. 7.,"5,855회",115개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,구수한 청국장과 함께 끼리는 오늘의식단 [만개의레시피],2020. 3. 6.,"2,426회",40개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,치킨 튀기는 소리 l 튀김ASMR l 치킨소스취향 #치킨소스종류 [만개의레시피],2020. 3. 6.,"4,004회",145개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"돼지 뒷다리살의 고급진 변신, 토마토돼지스튜 [만개의레시피]",2020. 3. 5.,"2,866회",68개,2개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,유자청만 넣어 특별한 밥도둑 만들기 ★ 유자진미채  [만개의레시피],2020. 3. 5.,"1,964회",52개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,당근농가살리기 동참해보는 만개표 당근요리 모음 [만개의레시피],2020. 3. 5.,"3,783회",79개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,파이 만들기 ! 파트브리제와 이탈리안머랭으로 만든 레몬머랭파이: Lemon meringue pie [만개의레시피],2020. 3. 5.,"2,296회",68개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"달콤한 디저트가 땡길때, 초간단 아포가토 [만개의레시피]",2020. 3. 4.,"2,675회",53개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,힘들게 400번 안젓고 만드는 달고나밀크티 & 달고나스콘 [만개의레시피],2020. 3. 4.,"4,928회",72개,5개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"모양깍지 모음집 67가지 짜고,짜고,짜고, 이 세상 모양깍지가 궁금했다 : piping tips [만개의레시피]",2020. 3. 4.,"5,644회",123개,2개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,달콤 고소한 견과류초코라떼 한 잔 어때요? [만개의레시피],2020. 3. 3.,"1,971회",38개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,양세브라더스가 먹은 추억소환 양세형의 김치죽 [만개의레시피],2020. 3. 3.,"5,426회",119개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,보들보들한 순두부로 만드는 순두부 활용레시피! [만개의레시피],2020. 3. 3.,"7,248회",184개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,"비타민 가득! 콜리플라워, 청경채, 배추미음으로 채소이유식 만들기 ★ [만개의레시피]",2020. 3. 3.,672회,7개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,초코머드파이 l 노오븐! 간단하게 만드는 묵진한 초콜렛 맛! :chocolate mud pie [만개의레시피],2020. 3. 2.,"4,489회",120개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,계피설탕을 듬뿍 묻힌 츄로스 ? 츄러스 ? 요리모음 ★ [만개의레시피],2020. 3. 2.,"5,412회",107개,1개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,내일은 삼겹살데이! 33데이에 대처하는 자세! 통삼겹살 롤바베큐 !: porchetta  [만개의레시피],2020. 3. 2.,"4,905회",49개,0개
0,만개의레시피 10K Recipe - YouTube,구독자 35.6만명,3월 3일 삼겹살데이에 딱 어울리는 간장비빔국수,2020. 3. 1.,"5,647회",92개,2개
