,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,승우아빠 - YouTube,구독자 44.2만명,51시간동안 바베큐한 등갈비,4시간 전 최초 공개,"29,770회",1.5천개,14개
0,승우아빠 - YouTube,구독자 44.2만명,음식 무조건 맛있게 하는 공식 알려드립니다,2020. 3. 25.,"142,136회",4.2천개,41개
0,승우아빠 - YouTube,구독자 44.2만명,굴소스는 사드세요.....제발,2020. 3. 23.,"410,497회",5.1천개,96개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 마이야르 치킨 3가지,최초 공개: 2020. 3. 20.,"180,382회",3.6천개,52개
0,승우아빠 - YouTube,구독자 44.2만명,절대로 집에서 요리하면 안되는 사람들,2020. 3. 18.,"208,209회",5.7천개,71개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 홍게요리 4가지와 게살버거,2020. 3. 16.,"160,119회",2.4천개,49개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 통조림 요리 7가지,최초 공개: 2020. 3. 13.,"146,496회",3.1천개,53개
0,승우아빠 - YouTube,구독자 44.2만명,달걀60개로 김계란 만들기,2020. 3. 11.,"345,845회",3.6천개,91개
0,승우아빠 - YouTube,구독자 44.2만명,400번 떨궈만드는 짜고나 국수를 만들었,최초 공개: 2020. 3. 9.,"195,381회",3.2천개,59개
0,승우아빠 - YouTube,구독자 44.2만명,24시간동안 우대갈비를 요리해 보았습니다,최초 공개: 2020. 3. 6.,"293,449회",3.5천개,112개
0,승우아빠 - YouTube,구독자 44.2만명,요리를 잘 못해서 죄송합니다,2020. 3. 4.,"187,650회",4천개,66개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 볶음우동 요리 6가지,2020. 3. 2.,"161,683회",4.6천개,45개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 떡볶이 레시피 6가지,2020. 2. 28.,"177,062회",3.3천개,54개
0,승우아빠 - YouTube,구독자 44.2만명,동료에게 정치당해서 진급 떨어진일,2020. 2. 26.,"78,710회",1.6천개,27개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 주먹밥 레시피 9가지,2020. 2. 24.,"204,402회",4천개,44개
0,승우아빠 - YouTube,구독자 44.2만명,공중파 요리방송에 더이상 못나가게된 이유,2020. 2. 23.,"221,414회",3.6천개,61개
0,승우아빠 - YouTube,구독자 44.2만명,174시간동안 베이컨을 만들어 보았습니다,2020. 2. 21.,"443,957회",5.6천개,128개
0,승우아빠 - YouTube,구독자 44.2만명,대형마트가 모두 사라질수도 있다고 합니다,2020. 2. 19.,"104,533회",1.9천개,34개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 김밥 레시피 8가지,2020. 2. 17.,"226,195회",3.2천개,69개
0,승우아빠 - YouTube,구독자 44.2만명,간장이 너무 많아서 만든 영상,2020. 2. 16.,"90,486회",2천개,22개
0,승우아빠 - YouTube,구독자 44.2만명,철 없는 30대의 프랑스식 소꿉요리와 크레페,2020. 2. 14.,"198,608회",3.3천개,52개
0,승우아빠 - YouTube,구독자 44.2만명,세상간단한 훈제오리요리 8가지,2020. 2. 12.,"214,729회",4.3천개,56개
0,승우아빠 - YouTube,구독자 44.2만명,치킨회사 CEO의 치킨월드컵,2020. 2. 10.,"74,746회",844개,26개
0,승우아빠 - YouTube,구독자 44.2만명,치킨회사 대표님의 충격고백,2020. 2. 9.,"81,989회",1.4천개,38개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 라면 요리 10가지,2020. 2. 7.,"293,505회",5.2천개,103개
0,승우아빠 - YouTube,구독자 44.2만명,이제는 치약도 핵불닭이다? 입천장 까지는 극한의 매운맛 치약 등장!,2020. 2. 5.,"71,599회",1.3천개,30개
0,승우아빠 - YouTube,구독자 44.2만명,마이야르 달팽이빵과 돼지 5겹살 요리,2020. 2. 3.,"109,179회",1.6천개,29개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 즉석밥 요리 10가지,2020. 1. 31.,"286,587회",6.5천개,75개
0,승우아빠 - YouTube,구독자 44.2만명,최신유행 핫도그 10가지를 넣었더니...,2020. 1. 29.,"236,676회",2.7천개,59개
0,승우아빠 - YouTube,구독자 44.2만명,"오늘은 감자탕을 만들겠습니다, 그런데 이제 감자가 없는",2020. 1. 27.,"138,663회",2.4천개,36개
0,승우아빠 - YouTube,구독자 44.2만명,조리도구 다 필요없고 '이것' 여섯개만 있어도 충분합니다,2020. 1. 26.,"292,936회",5.5천개,127개
0,승우아빠 - YouTube,구독자 44.2만명,배추만두! 사진만 보고 만들 수 있을까?,2020. 1. 24.,"104,775회",2천개,25개
0,승우아빠 - YouTube,구독자 44.2만명,실제로 약빤(?) 동료와 함께 일할 때 생기는 일,2020. 1. 22.,"107,976회",2.1천개,43개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 대왕오징어 요리 5가지,2020. 1. 20.,"164,414회",2천개,47개
0,승우아빠 - YouTube,구독자 44.2만명,펭수를 무단도용한 CU를 저격한 GS25와 편의점 전쟁,2020. 1. 19.,"114,209회",1.8천개,50개
0,승우아빠 - YouTube,구독자 44.2만명,연예인 진상고객에게 꾸중받았던 썰,2020. 1. 17.,"127,378회",2.8천개,34개
0,승우아빠 - YouTube,구독자 44.2만명,국밥보다 든든한 닭갈비를 만드는 물팁,2020. 1. 15.,"104,189회",2천개,30개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 참PD 요리,2020. 1. 13.,"157,589회",2.1천개,78개
0,승우아빠 - YouTube,구독자 44.2만명,아무리 생각해도 이건 좀 너무한것 같습니다 (분노주의),2020. 1. 12.,"217,709회",3.7천개,286개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 감자 요리 6가지,2020. 1. 10.,"205,756회",3.8천개,86개
0,승우아빠 - YouTube,구독자 44.2만명,영국출신 미친셰프를 만나고 직업을 바꾼 썰,2020. 1. 8.,"145,649회",2.7천개,59개
0,승우아빠 - YouTube,구독자 44.2만명,왕갈비버거! 사진만 보고 만들 수 있을까?,2020. 1. 6.,"198,241회",2.9천개,57개
0,승우아빠 - YouTube,구독자 44.2만명,2020년 신제품 트랜드 총정리,2020. 1. 5.,"80,264회",1.9천개,28개
0,승우아빠 - YouTube,구독자 44.2만명,쭈우우우우우욱 늘어나는 감자 요리 그런데 이제 치즈를 곁들인,2020. 1. 3.,"172,348회",2.6천개,55개
0,승우아빠 - YouTube,구독자 44.2만명,요리유튜버가 살 빼는 방법과 치명적인 부작용,2020. 1. 1.,"85,970회",1.6천개,20개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 케찹 요리 7가지,2019. 12. 30.,"162,498회",2.4천개,41개
0,승우아빠 - YouTube,구독자 44.2만명,판매 자체가 불법이었던 그 제품은 지금 어떻게 됐을까?,2019. 12. 29.,"123,920회",1.9천개,40개
0,승우아빠 - YouTube,구독자 44.2만명,최현석 셰프는 왜 자신의 이름을 건 레스토랑을 떠났을까,2019. 12. 28.,"399,368회",8.5천개,357개
0,승우아빠 - YouTube,구독자 44.2만명,국밥은 정말 가성비가 좋을까?,2019. 12. 27.,"300,329회",4.4천개,119개
0,승우아빠 - YouTube,구독자 44.2만명,34만 유튜브 채널에서 1년동안 벌어진 일,2019. 12. 25.,"148,173회",3.4천개,56개
